Date,Close
1/22/2020 16:00:00,91.16
1/23/2020 16:00:00,91.1
1/24/2020 16:00:00,90.78
1/27/2020 16:00:00,90.53
1/28/2020 16:00:00,90.55
1/29/2020 16:00:00,90.5
1/30/2020 16:00:00,90.64
1/31/2020 16:00:00,89.22
2/3/2020 16:00:00,89.69
2/4/2020 16:00:00,90.87
2/5/2020 16:00:00,91.31
2/6/2020 16:00:00,93.3
2/7/2020 16:00:00,91.25
2/10/2020 16:00:00,91.28
2/11/2020 16:00:00,91.85
2/12/2020 16:00:00,91.43
2/13/2020 16:00:00,92.57
2/14/2020 16:00:00,93.14
2/18/2020 16:00:00,92.22
2/19/2020 16:00:00,93.16
2/20/2020 16:00:00,93.06
2/21/2020 16:00:00,92.67
2/24/2020 16:00:00,89.53
2/25/2020 16:00:00,86.99
2/26/2020 16:00:00,87.03
2/27/2020 16:00:00,84.27
2/28/2020 16:00:00,83.47
3/2/2020 16:00:00,87.18
3/3/2020 16:00:00,85.91
3/4/2020 16:00:00,91.06
3/5/2020 16:00:00,87.65
3/6/2020 16:00:00,85.38
3/9/2020 16:00:00,78.4
3/10/2020 16:00:00,82.98
3/11/2020 16:00:00,77.97
3/12/2020 16:00:00,75.47
3/13/2020 16:00:00,80.99
3/16/2020 16:00:00,71.57
3/17/2020 16:00:00,80.51
3/18/2020 16:00:00,84.59
3/19/2020 16:00:00,78.17
3/20/2020 16:00:00,75.75
3/23/2020 16:00:00,71.81
3/24/2020 16:00:00,73.91
3/25/2020 16:00:00,73.57
3/26/2020 16:00:00,80.17
3/27/2020 16:00:00,79.79
3/30/2020 16:00:00,82.19
3/31/2020 16:00:00,81.19
4/1/2020 16:00:00,78.66
4/2/2020 16:00:00,82.22
4/3/2020 16:00:00,81.42
4/6/2020 16:00:00,84.93
4/7/2020 16:00:00,82.51
4/8/2020 16:00:00,84.48
4/9/2020 16:00:00,86.89
4/13/2020 16:00:00,86
4/14/2020 16:00:00,88.25
4/15/2020 16:00:00,86.89
4/16/2020 16:00:00,90.53
4/17/2020 16:00:00,92.95
4/20/2020 16:00:00,94.14
4/21/2020 16:00:00,90.1
4/22/2020 16:00:00,90.54
4/23/2020 16:00:00,91.32
4/24/2020 16:00:00,92.92
4/27/2020 16:00:00,92.67
4/28/2020 16:00:00,91
4/29/2020 16:00:00,91.49
4/30/2020 16:00:00,88.78
5/1/2020 16:00:00,87.84
5/4/2020 16:00:00,87.27
5/5/2020 16:00:00,88.74
5/6/2020 16:00:00,87.92
5/7/2020 16:00:00,88.44
5/8/2020 16:00:00,88.08
5/11/2020 16:00:00,88.93
5/12/2020 16:00:00,85.89
5/13/2020 16:00:00,85.55
5/14/2020 16:00:00,86.92
5/15/2020 16:00:00,87.16
5/18/2020 16:00:00,86.82
5/19/2020 16:00:00,86.52
5/20/2020 16:00:00,87.42
5/21/2020 16:00:00,86.56
5/22/2020 16:00:00,86.93
5/26/2020 16:00:00,85.51
5/27/2020 16:00:00,86.44
5/28/2020 16:00:00,88.2
5/29/2020 16:00:00,90.01
6/1/2020 16:00:00,90.39
6/2/2020 16:00:00,90.98
6/3/2020 16:00:00,90.48
6/4/2020 16:00:00,88.63
6/5/2020 16:00:00,89.19
6/8/2020 16:00:00,88.78
6/9/2020 16:00:00,87.01
6/10/2020 16:00:00,86.84
6/11/2020 16:00:00,83.57
6/12/2020 16:00:00,83.97
6/15/2020 16:00:00,83.78
6/16/2020 16:00:00,84.99
6/17/2020 16:00:00,85.1
6/18/2020 16:00:00,83.85
6/19/2020 16:00:00,84.49
6/22/2020 16:00:00,83.96
6/23/2020 16:00:00,83.49
6/24/2020 16:00:00,82.47
6/25/2020 16:00:00,85.33
6/26/2020 16:00:00,84.31
6/29/2020 16:00:00,84.23
6/30/2020 16:00:00,86.1
7/1/2020 16:00:00,87.31
7/2/2020 16:00:00,87.21
7/6/2020 16:00:00,88.11
7/7/2020 16:00:00,85.5
7/8/2020 16:00:00,84.18
7/9/2020 16:00:00,85.69
7/10/2020 16:00:00,85.23
7/13/2020 16:00:00,83.46
7/14/2020 16:00:00,84.65
7/15/2020 16:00:00,87.09
7/16/2020 16:00:00,85.81
7/17/2020 16:00:00,87.56
7/20/2020 16:00:00,87.82
7/21/2020 16:00:00,88.67
7/22/2020 16:00:00,89.2
7/23/2020 16:00:00,89.49
7/24/2020 16:00:00,89.26
7/27/2020 16:00:00,89.29
7/28/2020 16:00:00,89.26
7/29/2020 16:00:00,90.73
7/30/2020 16:00:00,86.01
7/31/2020 16:00:00,86.38
8/3/2020 16:00:00,83.16
8/4/2020 16:00:00,81.08
8/5/2020 16:00:00,80.46
8/6/2020 16:00:00,80.37
8/7/2020 16:00:00,80.73
8/10/2020 16:00:00,83.1
8/11/2020 16:00:00,82.94
8/12/2020 16:00:00,83.48
8/13/2020 16:00:00,84.64
8/14/2020 16:00:00,83.5
8/17/2020 16:00:00,83.7
8/18/2020 16:00:00,84.27
8/19/2020 16:00:00,82.89
8/20/2020 16:00:00,82.89
8/21/2020 16:00:00,83.09
8/24/2020 16:00:00,83.85
8/25/2020 16:00:00,84.6
8/26/2020 16:00:00,84.35
8/27/2020 16:00:00,86.27
8/28/2020 16:00:00,86.03
8/31/2020 16:00:00,87.07
9/1/2020 16:00:00,85.55
9/2/2020 16:00:00,85.91
9/3/2020 16:00:00,83.47
9/4/2020 16:00:00,82.3
9/8/2020 16:00:00,81.29
9/9/2020 16:00:00,82.86
9/10/2020 16:00:00,83.13
9/11/2020 16:00:00,83.1
9/14/2020 16:00:00,83.19
9/15/2020 16:00:00,80.51
9/16/2020 16:00:00,81.68
9/17/2020 16:00:00,82.32
9/18/2020 16:00:00,82.97
9/21/2020 16:00:00,80.25
9/22/2020 16:00:00,79.05
9/23/2020 16:00:00,78.33
9/24/2020 16:00:00,78.7
9/25/2020 16:00:00,79.64
9/28/2020 16:00:00,79.54
9/29/2020 16:00:00,79.09
9/30/2020 16:00:00,80.42
10/1/2020 16:00:00,79.72
10/2/2020 16:00:00,78.83
10/5/2020 16:00:00,80.57
10/6/2020 16:00:00,80.46
10/7/2020 16:00:00,81.65
10/8/2020 16:00:00,78.85
10/9/2020 16:00:00,78.5
10/12/2020 16:00:00,79.63
10/13/2020 16:00:00,80.1
10/14/2020 16:00:00,80.04
10/15/2020 16:00:00,80.56
10/16/2020 16:00:00,81.82
10/19/2020 16:00:00,81.19
10/20/2020 16:00:00,81.14
10/21/2020 16:00:00,81.74
10/22/2020 16:00:00,81.45
10/23/2020 16:00:00,81.09
